time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/std,train/loss,train/value_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/explained_variance
75776,74,784,96,0.013401801,-0.011695423827040941,0.7193723917007446,0.0069358027540147305,1.430987682837781e-06,0.2,-1.0897744581103326,0.1494140625,0.0003,730,0.9867579136043787
76800,75,779,98,0.008873791,-0.014757823891704902,0.7201195359230042,-0.028080910444259644,5.692794786682498e-07,0.2,-1.0897196158766747,0.13046875,0.0003,740,0.9828758370131254
77824,76,778,99,0.0129517475,-0.02249910287791863,0.712251603603363,-0.031189395114779472,5.74658430352315e-07,0.2,-1.0865123674273491,0.18662109375,0.0003,750,0.7778718024492264
78848,77,777,101,0.0038890447,-0.007401391729945317,0.7133887410163879,-0.0064135221764445305,7.038598919706373e-07,0.2,-1.0796429932117462,0.0751953125,0.0003,760,0.9667879119515419
79872,78,777,102,0.0023424013,-0.001916957227513194,0.7054871916770935,-0.0011066118022426963,9.19908228524946e-07,0.2,-1.0765133127570152,0.01455078125,0.0003,770,0.9656067490577698
80896,79,778,103,0.007219206,-0.01455903195310384,0.69704270362854,-0.021001871675252914,2.8578565984815897e-07,0.2,-1.0642766892910003,0.12568359375,0.0003,780,0.8960902690887451
81920,80,775,105,0.000523704,-0.0006529836915433407,0.6975120902061462,-0.0016208267770707607,4.4779724497345794e-07,0.2,-1.0580060094594956,0.0134765625,0.0003,790,0.9158102124929428
82944,81,774,107,0.002345582,-0.0007053760986309498,0.6991686224937439,-0.003239475656300783,4.924051147270347e-07,0.2,-1.0598741516470909,0.011328125,0.0003,800,0.9672257862985134
83968,82,774,108,0.004913412,-0.005909104773309082,0.699007511138916,-0.0025522334035485983,0.0037730446507339365,0.2,-1.0604942426085473,0.07578125,0.0003,810,0.08520787954330444
84992,83,772,109,0.005451534,-0.0029538939823396506,0.7049869298934937,-0.01510127354413271,8.596977563968266e-06,0.2,-1.0649824395775795,0.0380859375,0.0003,820,0.9732801094651222
86016,84,775,110,0.0012220338,-0.001120782789075747,0.7149754166603088,0.022007117047905922,0.057651152508333324,0.2,-1.076711820065975,0.0134765625,0.0003,830,0.15912067890167236
87040,85,776,112,0.007387602,-0.009870789339765906,0.709019124507904,0.002433713525533676,0.0024530648937798106,0.2,-1.0804342195391654,0.1119140625,0.0003,840,0.47649872303009033
88064,86,777,113,0.003100852,-0.004533818061463535,0.7068110704421997,-0.012419532053172588,0.0011621873127296567,0.2,-1.072504460811615,0.033203125,0.0003,850,0.8471707701683044
89088,87,771,115,0.003522737,-0.00012264303513802587,0.7048115134239197,0.02659490704536438,0.061907839169725774,0.2,-1.070345675945282,0.0048828125,0.0003,860,0.5268424153327942
90112,88,769,117,0.0077557233,-0.003309824052848853,0.6959660649299622,0.023711534217000008,0.07060787105001509,0.2,-1.0632422119379044,0.0416015625,0.0003,870,0.727709174156189
91136,89,770,118,0.003246243,-0.001816427437006496,0.7005941271781921,0.006128732115030289,0.0503131799865514,0.2,-1.0587239667773247,0.020703125,0.0003,880,0.8237249255180359
92160,90,769,119,0.0033905257,-0.002447633584961295,0.6981920599937439,0.004027264192700386,0.05808443839196116,0.2,-1.0620644211769104,0.03388671875,0.0003,890,0.9018396586179733
93184,91,767,121,0.00660666,-0.0047067284351214765,0.6934694647789001,0.015630101785063744,0.02027115604141727,0.2,-1.0561029464006424,0.0578125,0.0003,900,0.9582067467272282
94208,92,767,122,0.006678694,-0.004558461194392294,0.6956339478492737,0.00280055683106184,0.026997753139585256,0.2,-1.0539734750986098,0.07451171875,0.0003,910,0.9777534306049347
95232,93,769,123,0.009232735,-0.017826341500040144,0.6931464672088623,-0.020508645102381706,0.006040677189594135,0.2,-1.0547876477241516,0.15107421875,0.0003,920,0.9844620944932103
96256,94,768,125,0.008544389,-0.007202712504658848,0.6878930926322937,-0.003264228580519557,0.016550454523530787,0.2,-1.0495008125901222,0.078125,0.0003,930,0.9650772474706173
97280,95,768,126,0.009702153,-0.01153862566279713,0.6798059344291687,-0.025555789470672607,0.008482266406645067,0.2,-1.0390916362404823,0.12255859375,0.0003,940,0.9828011374920607
98304,96,768,127,0.0127669405,-0.01405013055773452,0.6683005690574646,0.004992494359612465,0.0048756137490272525,0.2,-1.0249465525150299,0.1318359375,0.0003,950,0.9861220614984632
99328,97,766,129,0.012336389,-0.01527268320787698,0.6662464141845703,-0.022236129269003868,0.002593736627022736,0.2,-1.0144059896469115,0.145703125,0.0003,960,0.9718210697174072
100352,98,768,130,0.0104149,-0.02131847495329566,0.6588937640190125,-0.040924735367298126,0.001272905733640073,0.2,-1.0083047240972518,0.17841796875,0.0003,970,0.9804845955222845
101376,99,767,132,0.0062827207,-0.010693314368836582,0.6549792885780334,-0.020760580897331238,0.005884073277411517,0.2,-0.9978103838860989,0.0904296875,0.0003,980,0.9729397222399712
102400,100,767,133,0.014860053,-0.01455726232379675,0.6519933938980103,0.005530721507966518,0.0016669266937242356,0.2,-0.9942284040153027,0.14375,0.0003,990,0.9707588963210583
103424,101,768,134,0.003860353,-0.0036858341190963984,0.6502843499183655,0.002683927770704031,0.006238767290778924,0.2,-0.9911196358501911,0.03671875,0.0003,1000,0.9748271256685257
104448,102,769,135,0.0054698745,-0.004237882781308144,0.6525499820709229,0.0004759649746119976,0.005270179877697956,0.2,-0.9891336642205715,0.04677734375,0.0003,1010,0.969113552942872
105472,103,768,137,0.005046835,-0.004504959913901985,0.6464105248451233,0.01492355391383171,0.006306495863827877,0.2,-0.9867195948958397,0.03994140625,0.0003,1020,0.9642991721630096
106496,104,768,138,0.0055103963,-0.006605848675826564,0.649377167224884,-0.0012392112985253334,0.00439321608573664,0.2,-0.9835813142359257,0.05380859375,0.0003,1030,0.9660173766314983
107520,105,769,139,0.0032163495,-0.0029618030937854202,0.646539032459259,-0.0009483888279646635,0.001763951596149127,0.2,-0.9865776769816875,0.03154296875,0.0003,1040,0.9754634872078896
108544,106,768,141,0.005804592,-0.007397402852075174,0.6345733404159546,0.00032486114650964737,0.003801687596569536,0.2,-0.9733560398221016,0.07666015625,0.0003,1050,0.9629724398255348
109568,107,767,142,0.004043771,-0.0016708016279153525,0.632051944732666,-0.010295417159795761,0.0044696078053675595,0.2,-0.9610912494361401,0.0189453125,0.0003,1060,0.9555358700454235
110592,108,766,144,0.0056445356,-0.004861246776999906,0.6245620250701904,-0.0070759207010269165,0.0027987337947706693,0.2,-0.9551640801131726,0.045703125,0.0003,1070,0.9642667397856712
111616,109,767,145,0.002950679,-0.004764300255919807,0.6276599764823914,0.0023130043409764767,0.001752855996892322,0.2,-0.9493719510734081,0.02734375,0.0003,1080,0.9700638763606548
112640,110,769,146,0.0036494073,-0.003199905712972395,0.6310743093490601,-0.015157426707446575,0.002016552606437472,0.2,-0.9556920528411865,0.03310546875,0.0003,1090,0.9588636867702007
113664,111,768,147,0.0052727438,-0.005496594824944623,0.6182711720466614,0.004428444430232048,0.0010631607899995287,0.2,-0.9495468430221081,0.05078125,0.0003,1100,0.9595211111009121
114688,112,768,149,0.0037785512,-0.001983713521622121,0.6147174835205078,-0.007544050458818674,0.0008340869908352033,0.2,-0.9348482072353363,0.03125,0.0003,1110,0.9721129108220339
115712,113,768,150,0.0070079556,-0.004727303673280403,0.6143887639045715,0.0021220105700194836,0.0007626994460224523,0.2,-0.9319296456873417,0.056640625,0.0003,1120,0.9685520753264427
116736,114,763,152,0.0042053843,-0.0025554278574418275,0.6189561486244202,-0.009169027209281921,0.0007200015857961262,0.2,-0.9347439467906952,0.02177734375,0.0003,1130,0.9664434939622879
117760,115,762,154,0.001998463,-0.0013220640044892206,0.6198297739028931,-0.01066028792411089,0.0005140269011462805,0.2,-0.940261685103178,0.00712890625,0.0003,1140,0.9721947908401489
118784,116,763,155,0.0039784927,-0.0006538724876008928,0.6217105388641357,-0.0010997512144967914,0.00039650127828281254,0.2,-0.9416415706276894,0.0158203125,0.0003,1150,0.9704027716070414
119808,117,761,157,0.003226394,-0.001310631271917373,0.6213992834091187,0.006930576171725988,0.00016138595226493634,0.2,-0.9435287564992905,0.01630859375,0.0003,1160,0.9692595191299915
120832,118,762,158,0.0015042895,0.0001314708060817793,0.6199527978897095,0.002717007650062442,0.0001221429095039639,0.2,-0.9420908935368061,9.765625e-05,0.0003,1170,0.9714325815439224
121856,119,764,159,0.0016364555,-0.0007068448641803116,0.6154793500900269,-0.0020559346303343773,0.00014569383940852277,0.2,-0.9379691362380982,0.0025390625,0.0003,1180,0.9762039072811604
122880,120,765,160,0.0022449705,-0.0032491357007529585,0.6143753528594971,-0.005890073720365763,0.000139210574820936,0.2,-0.9325835332274437,0.01064453125,0.0003,1190,0.9772252291440964
123904,121,765,161,0.0035609796,-0.004569385637296364,0.6171577572822571,-0.0028850543312728405,9.301177624365664e-05,0.2,-0.9323659099638462,0.03447265625,0.0003,1200,0.9785780105739832
124928,122,763,163,0.0038864552,-0.00281794662005268,0.609366774559021,-0.002595826517790556,6.525335714968605e-05,0.2,-0.9311991095542907,0.01845703125,0.0003,1210,0.979125102981925
125952,123,763,164,0.0012753869,-0.00021471366053447128,0.6127157807350159,-3.09456154354848e-05,5.094728642234259e-05,0.2,-0.9254618205130101,0.0037109375,0.0003,1220,0.9803353250026703
126976,124,765,165,0.006332227,-0.005587188125355169,0.6160871982574463,-0.010442482307553291,7.113704984931246e-05,0.2,-0.9318503260612487,0.06572265625,0.0003,1230,0.9727993551641703
128000,125,765,167,0.0020599323,-0.001181764539796859,0.6133113503456116,-0.002936733653768897,4.3734120174576675e-05,0.2,-0.933088256418705,0.003125,0.0003,1240,0.9798807073384523
129024,126,766,168,0.0026159436,-0.0018524839513702318,0.6158574819564819,-0.0034050464164465666,3.395051995767062e-05,0.2,-0.9314285233616829,0.0125,0.0003,1250,0.9828936401754618
130048,127,766,169,0.009731006,-0.008674256666563452,0.6109562516212463,0.0020863909740000963,1.3908666946349513e-05,0.2,-0.930470421910286,0.08916015625,0.0003,1260,0.9828131515532732
131072,128,766,171,0.005681091,-0.005276451603276655,0.6049922704696655,-0.003764169989153743,1.1598805463108874e-05,0.2,-0.9206640645861626,0.05048828125,0.0003,1270,0.9863751186057925
132096,129,767,172,0.0036818478,-0.00572715814341791,0.6081076860427856,-0.009226888418197632,1.804292099336635e-05,0.2,-0.9175329975783825,0.03115234375,0.0003,1280,0.9858690779656172
